PON,40.87869,-88.6372
POR,43.6541,-70.29126
POS,34.05922,-117.75062
POU,41.70706,-73.93749
PRB,35.62268,-120.68786
PRC,37.85659,-81.06069
PRK,44.52408,-73.40354
PRO,40.22596,-111.664
PSC,46.23701,-119.08773
PSN,33.89749,-116.54791
PTB,37.24163,-77.42879
PTH,42.96042,-82.4438
PUR,35.01203,-97.35742
PVD,41.82949,-71.41348
PVL,34.74174,-97.21846
QAN,38.52188,-77.29303
QCY,39.95706,-91.36853
RAT,36.90107,-104.43789
RDD,40.58359,-122.39337
RDW,44.56621,-92.53707
REN,40.94328,-87.15512
RGH,35.77721,-78.64778
RHI,41.92135,-73.95128
RIC,37.93675,-122.35413
RIV,33.97567,-117.36999
RKV,39.08455,-77.146
RLN,38.79101,-121.2373
RMT,35.938,-77.79785
RNK,37.27319,-79.9418
RNO,39.52852,-119.81212
ROC,43.16341,-77.60806
ROM,43.19942,-75.44996
ROY,42.48844,-83.14701
RPH,43.9224,-72.66546
RSP,44.99487,-73.37109
RSV,38.75002,-121.28629
RTE,42.21024,-71.14789
RTL,40.31091,-88.15913
RUD,43.60576,-72.98154
RUG,48.36985,-99.99756
RVM,37.53421,-77.42951
RVR,37.61769,-77.49694
SAB,44.81236,-73.08619
SAC,38.584,-121.5007
SAL,35.6675,-80.46632
SAN,32.71617,-117.16958
SAO,43.49619,-70.44914
SAR,43.08281,-73.81003
SAS,29.41935,-98.47814
SAV,32.08341,-81.14826
SBA,34.41372,-119.69278
SBG,27.49663,-81.4342
SBY,48.50675,-111.85665
SCC,37.35322,-121.93658
SCD,45.56775,-94.14909
SCH,29.74668,-90.81525
SDL,30.27837,-89.78256
SDY,42.81472,-73.94289
SEA,47.59845,-122.33016
SED,38.7116,-93.22871
SFA,28.80854,-81.29127
SIM,34.2702,-118.69516
SJC,37.32993,-121.90239
SJM,42.10908,-86.48448
SKN,37.94547,-121.28563
SKT,37.95704,-121.279
SKY,41.44067,-82.71787
SLC,40.76166,-111.90835
SLM,44.93233,-123.02833
SLO,35.27643,-120.6547
SMC,29.87657,-97.94105
SMT,41.79491,-87.80974
SNA,33.75163,-117.85661
SNB,34.10411,-117.31066
SNC,33.50132,-117.66381
SND,30.13995,-102.39875
SNP,33.41965,-117.61973
SNS,36.67915,-121.65674
SOB,41.67836,-86.28734
SOL,32.99294,-117.27114
SOP,35.17507,-79.3903
SPB,34.95374,-81.93692
SPG,42.10599,-72.59291
SPI,39.80232,-89.65138
SPK,47.65672,-117.41545
SPL,46.3546,-94.79533
SPM,38.72128,-82.96375
SPT,48.27623,-116.54558
SSM,35.53279,-78.2801
STA,38.14764,-79.07178
STL,38.62419,-90.20397
STM,41.04713,-73.54216
STN,48.31981,-102.38938
STS,41.30525,-72.92209
STW,48.24264,-122.34993
SUI,38.2434,-122.0411
SVT,42.71829,-87.9063
SYR,43.07655,-76.16924
TAC,47.2398,-122.4281
TAY,30.56767,-97.40776
TCA,34.57846,-83.33154
TCL,33.19316,-87.56023
THN,37.95699,-81.07875
TOH,43.98601,-90.50533
TOL,41.63834,-83.54172
TOP,39.05141,-95.66492
TPA,27.95249,-82.45078
TPL,31.09588,-97.34579
TRE,40.21901,-74.75444
TRI,37.17269,-104.50798
TRK,37.52723,-120.79801
TRM,42.54255,-83.19103
TRU,39.32762,-120.18539
TUK,47.46108,-122.24025
TUS,32.22298,-110.96677
TXA,33.42007,-94.04308
TYR,40.66771,-78.24047
UCA,43.10389,-75.22343
VAN,45.6289,-122.68654
VEC,34.27693,-119.29992
VNC,34.21129,-118.44821
VRN,44.18092,-73.24882
VRV,34.5372,-117.29296
WAB,44.33501,-72.75181
WAC,35.59409,-119.33231
WAH,38.56147,-91.01272
WAR,38.76275,-93.7409
WAS,38.89699,-77.00642
WBG,37.27641,-76.70856
WDB,38.65892,-77.24785
WDL,43.62651,-89.77745
WEM,43.32084,-70.61219
WEN,47.42156,-120.30655
WFD,41.45697,-72.82522
WFH,48.41347,-114.33558
WGL,48.49622,-113.97916
WHL,43.55469,-73.40321
WIH,45.65767,-120.96614
WIL,39.73726,-75.5511
WIN,44.0444,-91.64007
WIP,39.94757,-105.81739
WLN,35.72313,-77.90803
WLO,35.02167,-110.69498
WLY,41.38108,-71.82978
WND,41.85201,-72.64225
WNL,41.91396,-72.6261
WNM,43.47991,-72.38498
WNN,40.96904,-117.73221
WNR,36.06766,-90.95677
WOB,42.51736,-71.14382
WOR,42.26148,-71.79481
WPB,26.71255,-80.06218
WPK,28.5971,-81.35199
WPT,48.09167,-105.64274
WRJ,43.64779,-72.31727
WSP,44.18729,-73.45177
WSS,37.78644,-80.304
WTH,28.00215,-81.73488
WTI,41.43182,-85.0243
WTN,48.143,-103.62093
YAZ,32.84848,-90.41523
YEM,32.68829,-80.8469
YNY,40.93559,-73.90226
YUM,32.72314,-114.61557
